prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13
220000,1961,7.2503819,0,6.0409279,7.2543902,6.2597728,0,0,0,0,0,0,0,1,0,0,0,0
220000,1962,7.2397327,0,6.2541952,7.2973619,6.1748271,0,0,0,0,0,0,0,0,1,0,0,0
220000,1963,7.5703506,0,6.428607,7.3376527,6.2025356,0,0,0,0,0,0,0,0,0,1,0,0
220000,1964,7.3421688,0,6.1046233,7.3746915,6.221981,0,0,0,0,0,0,0,0,0,0,1,0
220000,1965,7.2534027,0,6.1088462,7.4019027,6.2542133,0,0,0,0,0,0,0,0,0,0,0,1
230000,1953,7.1876163,0,6.6567392,7.0814562,5.9697299,0,0,0,0,0,0,0,0,0,0,0,0
230000,1954,7.2559276,0,6.7043314,7.1310587,6.0640178,1,0,0,0,0,0,0,0,0,0,0,0
230000,1955,7.1942639,0,6.5970716,7.1862955,6.1364303,0,1,0,0,0,0,0,0,0,0,0,0
230000,1956,7.3011603,0,6.6859794,7.2571435,6.2015228,0,0,1,0,0,0,0,0,0,0,0,0
230000,1957,7.2121358,0,6.8064432,7.2987833,6.3521066,0,0,0,1,0,0,0,0,0,0,0,0
230000,1958,7.5985403,6.8459911,0,7.3548102,6.1238079,0,0,0,0,1,0,0,0,0,0,0,0
230000,1959,7.4784322,6.622241,0,7.4277387,6.6599345,0,0,0,0,0,1,0,0,0,0,0,0
230000,1960,7.6065378,6.743813,0,7.4994788,6.7675734,0,0,0,0,0,0,1,0,0,0,0,0
230000,1961,7.3995814,0,6.8099217,7.5480819,6.6758232,0,0,0,0,0,0,0,1,0,0,0,0
230000,1962,7.3906975,0,6.6526184,7.5461822,6.5838242,0,0,0,0,0,0,0,0,1,0,0,0
230000,1963,7.7239532,0,6.9376769,7.5868034,6.6386986,0,0,0,0,0,0,0,0,0,1,0,0
230000,1964,7.4040599,0,6.7717471,7.6272035,6.632792,0,0,0,0,0,0,0,0,0,0,1,0
230000,1965,7.3591814,0,6.9304423,7.6657066,6.7138066,0,0,0,0,0,0,0,0,0,0,0,1
310000,1953,6.0795221,0,4.7949076,6.4220123,6.0730057,0,0,0,0,0,0,0,0,0,0,0,0
310000,1954,6.2978864,0,4.8355684,6.4963374,6.1473308,1,0,0,0,0,0,0,0,0,0,0,0
310000,1955,6.0191917,0,4.8017325,6.4347072,6.0857,0,1,0,0,0,0,0,0,0,0,0,0
310000,1956,5.9592342,0,4.8119431,6.4535303,6.1045237,0,0,1,0,0,0,0,0,0,0,0,0
310000,1957,6.0582066,0,4.8581018,6.536242,6.1872354,0,0,0,1,0,0,0,0,0,0,0,0
310000,1958,6.3726778,4.9076948,0,6.6211395,6.2721324,0,0,0,0,1,0,0,0,0,0,0,0
310000,1959,6.5646863,5.1621723,0,6.9357495,6.5553284,0,0,0,0,0,1,0,0,0,0,0,0
310000,1960,6.7011628,5.1771221,0,6.9625278,6.5849433,0,0,0,0,0,0,1,0,0,0,0,0
310000,1961,6.6365666,0,5.185493,6.9650707,6.5833678,0,0,0,0,0,0,0,1,0,0,0,0
310000,1962,6.6073284,0,5.21699,6.9640031,6.5613275,0,0,0,0,0,0,0,0,1,0,0,0
310000,1963,6.4845138,0,5.2440314,6.9788098,6.5654764,0,0,0,0,0,0,0,0,0,1,0,0
310000,1964,6.42834,0,5.264513,6.990459,6.569243,0,0,0,0,0,0,0,0,0,0,1,0
310000,1965,6.3625259,0,5.2734346,6.9974041,6.5737362,0,0,0,0,0,0,0,0,0,0,0,1
320000,1953,8.4427872,0,6.8691506,8.24722,6.3279366,0,0,0,0,0,0,0,0,0,0,0,0
320000,1954,8.4287539,0,6.8849158,8.2666349,6.3194723,1,0,0,0,0,0,0,0,0,0,0,0
320000,1955,8.5540056,0,7.0261059,8.2901039,6.3325868,0,1,0,0,0,0,0,0,0,0,0,0
320000,1956,8.3418188,0,6.9398942,8.3161507,6.3459873,0,0,1,0,0,0,0,0,0,0,0,0
320000,1957,8.2768393,0,6.913013,8.3387146,6.4307833,0,0,0,1,0,0,0,0,0,0,0,0
320000,1958,8.731617,7.061944,0,8.3566113,6.5524225,0,0,0,0,1,0,0,0,0,0,0,0
320000,1959,8.9742413,7.0328436,0,8.3639326,6.6341996,0,0,0,0,0,1,0,0,0,0,0,0
320000,1960,8.6425791,6.8978481,0,8.3536482,6.6422653,0,0,0,0,0,0,1,0,0,0,0,0
320000,1961,8.3884869,0,6.9230275,8.3531199,6.5477462,0,0,0,0,0,0,0,1,0,0,0,0
320000,1962,8.2732601,0,6.9551272,8.3741865,6.4675436,0,0,0,0,0,0,0,0,1,0,0,0
320000,1963,8.4115763,0,7.0945792,8.3986597,6.4668756,0,0,0,0,0,0,0,0,0,1,0,0
320000,1964,8.361042,0,7.2379732,8.414443,6.4656005,0,0,0,0,0,0,0,0,0,0,1,0
320000,1965,8.2220459,0,7.2137809,8.4389591,6.48491,0,0,0,0,0,0,0,0,0,0,0,1
330000,1953,8.0225286,0,6.9026093,7.7268786,5.8320289,0,0,0,0,0,0,0,0,0,0,0,0
330000,1954,7.9812307,0,7.0508265,7.7517076,5.8606439,1,0,0,0,0,0,0,0,0,0,0,0
330000,1955,7.7220831,0,7.0822272,7.7775955,5.8903451,0,1,0,0,0,0,0,0,0,0,0,0
330000,1956,7.7305064,0,7.0131226,7.8009291,5.939671,0,0,1,0,0,0,0,0,0,0,0,0
330000,1957,7.7365499,0,7.0448308,7.8253813,6.0280857,0,0,0,1,0,0,0,0,0,0,0,0
330000,1958,7.927031,7.0523086,0,7.8491445,6.1510077,0,0,0,0,1,0,0,0,0,0,0,0
330000,1959,8.0348644,7.075439,0,7.8625937,6.1946297,0,0,0,0,0,1,0,0,0,0,0,0
330000,1960,7.8547468,7.0658603,0,7.8708763,6.2216034,0,0,0,0,0,0,1,0,0,0,0,0
330000,1961,7.7262864,0,7.1010618,7.8759475,6.1867433,0,0,0,0,0,0,0,1,0,0,0,0
330000,1962,7.6679626,0,7.0845375,7.9036851,6.1152959,0,0,0,0,0,0,0,0,1,0,0,0
